 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   11.1      46393      12462      100000      127       84703        9        84024        2        83947        2        83947        2        83947        2        83947        2        83947        2        83947        0          0     
   11.2      46631      12299      100000      109       84937        4        84329        2        84303        2        84303        2        84303        2        84303        2        84303        2        84303        0          0     
   11.3      46785      12151      100000      112       85088        5        84475        2        84443        2        84443        2        84443        2        84443        2        84443        2        84443        0          0     
   11.4      46824      12207      100000      117       85078        9        84468        2        84375        2        84375        2        84375        2        84375        2        84375        2        84375        0          0     
   11.5      46687      12298      100000      117       84974        4        84328        2        84300        2        84300        2        84300        2        84300        2        84300        2        84300        0          0     
   11.6      46849      12112      100000      116       85188        7        84548        2        84494        2        84494        2        84494        2        84494        2        84494        2        84494        0          0     
   11.7      46906      12167      100000      112       85267        5        84656        2        84620        2        84620        2        84620        2        84620        2        84620        2        84620        0          0     
   11.8      46878      12040      100000      104       85239        6        84697        2        84649        2        84649        2        84649        2        84649        2        84649        2        84649        0          0     
   11.9      46846      12212      100000      115       85100        7        84490        2        84437        2        84437        2        84437        2        84437        2        84437        2        84437        0          0     
   12.0      46874      12228      100000      132       85008        8        84307        2        84236        2        84236        2        84236        2        84236        2        84236        2        84236        0          0     
   12.1      46789      12397      100000      110       84706        7        84118        2        84064        2        84064        2        84064        2        84064        2        84064        2        84064        0          0     
   12.2      46817      12428      100000      126       84703        8        84039        2        83971        2        83971        2        83971        2        83971        2        83971        2        83971        0          0     
   12.3      46813      12526      100000      124       84573        5        83882        2        83849        2        83849        2        83849        2        83849        2        83849        2        83849        0          0     
   12.4      46860      12481      100000      133       84551        10       83843        2        83755        2        83755        2        83755        2        83755        2        83755        2        83755        0          0     
   12.5      46991      12597      100000      117       84480        5        83834        2        83799        2        83799        2        83799        2        83799        2        83799        2        83799        0          0     
   12.6      47212      12494      100000      124       84701        7        84051        2        83992        2        83992        2        83992        2        83992        2        83992        2        83992        0          0     
   12.7      47361      12258      100000      100       84936        3        84384        2        84373        2        84373        2        84373        2        84373        2        84373        2        84373        0          0     
   12.8      47629      11958      100000      106       85361        7        84796        2        84723        2        84723        2        84723        2        84723        2        84723        2        84723        0          0     
   12.9      47742      12043      100000       95       85289        4        84777        2        84753        2        84753        2        84753        2        84753        2        84753        2        84753        0          0     
   13.0      47819      12028      100000      103       85299        4        84729        2        84708        2        84708        2        84708        2        84708        2        84708        2        84708        0          0     
   13.1      47848      12243      100000      124       85049        5        84366        2        84329        2        84329        2        84329        2        84329        2        84329        2        84329        0          0     
   13.2      47989      12322      100000      112       84793        3        84166        2        84156        2        84156        2        84156        2        84156        2        84156        2        84156        0          0     
   13.3      48132      12317      100000      128       84862        6        84167        2        84122        2        84122        2        84122        2        84122        2        84122        2        84122        0          0     
   13.4      48158      12462      100000       81       84676        7        84251        2        84195        2        84195        2        84195        2        84195        2        84195        2        84195        0          0     
   13.5      48323      12209      100000      101       84895        8        84352        2        84282        2        84282        2        84282        2        84282        2        84282        2        84282        0          0     
   13.6      48531      12285      100000      127       84959        3        84250        2        84238        2        84238        2        84238        2        84238        2        84238        2        84238        0          0     
   13.7      48520      12449      100000      115       84681        4        84043        2        84018        2        84018        2        84018        2        84018        2        84018        2        84018        0          0     
   13.8      48619      12439      100000      107       84759        3        84153        2        84142        2        84142        2        84142        2        84142        2        84142        2        84142        0          0     
   13.9      48555      12367      100000      128       84843        6        84148        2        84104        2        84104        2        84104        2        84104        2        84104        2        84104        0          0     
   14.0      48517      12274      100000      147       84883        15       84116        2        83977        2        83977        2        83977        2        83977        2        83977        2        83977        0          0     
   14.1      48579      12424      100000      136       84694        6        83956        2        83907        2        83907        2        83907        2        83907        2        83907        2        83907        0          0     
   14.2      48726      12626      100000      137       84556        8        83835        2        83763        2        83763        2        83763        2        83763        2        83763        2        83763        0          0     
   14.3      48833      12476      100000      130       84589        7        83863        2        83801        2        83801        2        83801        2        83801        2        83801        2        83801        0          0     
   14.4      48936      12499      100000      125       84629        8        83927        2        83862        2        83862        2        83862        2        83862        2        83862        2        83862        0          0     
   14.5      49158      12530      100000      113       84610        8        84000        2        83931        2        83931        2        83931        2        83931        2        83931        2        83931        0          0     
   14.6      49189      12554      100000      114       84490        10       83894        2        83802        2        83802        2        83802        2        83802        2        83802        2        83802        0          0     
   14.7      49545      12349      100000      113       84876        2        84228        2        84228        2        84228        2        84228        2        84228        2        84228        2        84228        0          0     
   14.8      49757      12192      100000      102       84990        7        84441        2        84389        2        84389        2        84389        2        84389        2        84389        2        84389        0          0     
   14.9      49957      12130      100000      100       85198        6        84662        2        84619        2        84619        2        84619        2        84619        2        84619        2        84619        0          0     
   15.0      49801      12065      100000      119       85276        5        84624        2        84590        2        84590        2        84590        2        84590        2        84590        2        84590        0          0     
   15.1      50032      12078      100000      102       85345        6        84782        2        84730        2        84730        2        84730        2        84730        2        84730        2        84730        1        50032   
   15.2      50186      12034      100000       94       85369        3        84853        2        84843        2        84843        2        84843        2        84843        2        84843        2        84843        1        50186   
   15.3      50140      12069      100000      103       85234        5        84665        2        84630        2        84630        2        84630        2        84630        2        84630        2        84630        1        50140   
   15.4      49842      12236      100000      133       84965        7        84221        2        84150        2        84150        2        84150        2        84150        2        84150        2        84150        0          0     
   15.5      50072      12273      100000      114       85005        6        84377        2        84336        2        84336        2        84336        2        84336        2        84336        2        84336        1        50072   
   15.6      50199      12242      100000      120       84969        5        84307        2        84277        2        84277        2        84277        2        84277        2        84277        2        84277        1        50199   
   15.7      50446      12278      100000      102       84937        3        84391        2        84380        2        84380        2        84380        2        84380        2        84380        2        84380        1        50446   
   15.8      50563      12290      100000      121       85076        3        84398        2        84386        2        84386        2        84386        2        84386        2        84386        2        84386        1        50563   
   15.9      50717      12001      100000      141       85298        4        84537        2        84507        2        84507        2        84507        2        84507        2        84507        2        84507        1        50717   
   16.0      50992      12000      100000       90       85315        9        84845        2        84770        2        84770        2        84770        2        84770        2        84770        2        84770        1        50992   
   16.1      51172      11997      100000       97       85340        4        84803        2        84776        2        84776        2        84776        2        84776        2        84776        2        84776        1        51172   
   16.2      51289      12015      100000      100       85306        4        84757        2        84734        2        84734        2        84734        2        84734        2        84734        2        84734        1        51289   
   16.3      51445      11895      100000       98       85539        4        84991        2        84968        2        84968        2        84968        2        84968        2        84968        2        84968        1        51445   
   16.4      51391      11893      100000      119       85591        3        84916        2        84906        2        84906        2        84906        2        84906        2        84906        2        84906        1        51391   
   16.5      51354      11931      100000       95       85417        6        84912        2        84868        2        84868        2        84868        2        84868        2        84868        2        84868        1        51354   
   16.6      51263      12038      100000      122       85296        8        84636        2        84569        2        84569        2        84569        2        84569        2        84569        2        84569        1        51263   
   16.7      51098      12127      100000      121       85129        5        84450        2        84416        2        84416        2        84416        2        84416        2        84416        2        84416        1        51098   
   16.8      51015      12280      100000      125       84999        8        84325        2        84259        2        84259        2        84259        2        84259        2        84259        2        84259        1        51015   
   16.9      50784      12498      100000      108       84676        4        84074        2        84017        2        84017        2        84017        2        84017        2        84017        2        84017        1        50784   
   17.0      50833      12413      100000      113       84820        5        84194        2        84148        2        84148        2        84148        2        84148        2        84148        2        84148        1        50833   
   17.1      50916      12304      100000      125       84996        7        84333        2        84281        2        84281        2        84281        2        84281        2        84281        2        84281        1        50916   
   17.2      50798      12301      100000      109       84937        5        84342        2        84309        2        84309        2        84309        2        84309        2        84309        2        84309        1        50798   
   17.3      50656      12326      100000      108       84810        6        84210        2        84159        2        84159        2        84159        2        84159        2        84159        2        84159        1        50656   
   17.4      50635      12337      100000      104       84805        9        84240        2        84160        2        84160        2        84160        2        84160        2        84160        2        84160        1        50635   
   17.5      50697      12483      100000      112       84628        8        84045        2        83973        2        83973        2        83973        2        83973        2        83973        2        83973        1        50697   
   17.6      50892      12491      100000      104       84622        4        84044        2        84015        2        84015        2        84015        2        84015        2        84015        2        84015        1        50892   
   17.7      50904      12448      100000      114       84721        7        84113        2        84051        2        84051        2        84051        2        84051        2        84051        2        84051        1        50904   
   17.8      50803      12417      100000      141       84743        5        83972        2        83939        2        83939        2        83939        2        83939        2        83939        2        83939        1        50803   
   17.9      50829      12554      100000      106       84671        4        84090        2        84061        2        84061        2        84061        2        84061        2        84061        2        84061        1        50829   
   18.0      50794      12371      100000      106       84751        7        84175        2        84118        2        84118        2        84118        2        84118        2        84118        2        84118        1        50794   
   18.1      50694      12523      100000      119       84714        6        84060        2        84018        2        84018        2        84018        2        84018        2        84018        2        84018        1        50694   
   18.2      50756      12435      100000      119       84749        6        84105        2        84063        2        84063        2        84063        2        84063        2        84063        2        84063        1        50756   
   18.3      50891      12292      100000      115       84936        6        84287        2        84246        2        84246        2        84246        2        84246        2        84246        2        84246        1        50891   
   18.4      50869      12335      100000      119       84933        7        84288        2        84232        2        84232        2        84232        2        84232        2        84232        2        84232        1        50869   
