           rCoM                     NinBin                      NA                        NB                      phiLoc                    align                      pInt                     pSwim          
        378.968295                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        380.092830                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        381.217365                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        382.341900                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        383.466435                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        384.590970                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        385.715505                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        386.840040                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        387.964575                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
        389.089110                    0                         0                         0                      0.000000                  0.000000                    0.0                       0.0           
