           tauB                     NinLC                      phiL          
          46.20                     69314                    0.18634                   1.33590         
          46.30                     69526                    0.18413                   1.33426         
          46.40                     69627                    0.18423                   1.33259         
          46.50                     69648                    0.18418                   1.33372         
          46.60                     69747                    0.18400                   1.33423         
          46.70                     69772                    0.18391                   1.33414         
          46.80                     69730                    0.18668                   1.33515         
          46.90                     69823                    0.18615                   1.33368         
          47.00                     69854                    0.18695                   1.33422         
          47.10                     69798                    0.18887                   1.33369         
          47.20                     69695                    0.19148                   1.33538         
          47.30                     69846                    0.18877                   1.33459         
          47.40                     70002                    0.18832                   1.33217         
          47.50                     70067                    0.18852                   1.33236         
          47.60                     70399                    0.18615                   1.32953         
          47.70                     70520                    0.18672                   1.32849         
          47.80                     70607                    0.18640                   1.32465         
          47.90                     70452                    0.18945                   1.32358         
          48.00                     70352                    0.19037                   1.32346         
          48.10                     70313                    0.19080                   1.32385         
          48.20                     70238                    0.19178                   1.32624         
          48.30                     70323                    0.19250                   1.32672         
          48.40                     70388                    0.19232                   1.32856         
          48.50                     70521                    0.19091                   1.32857         
          48.60                     70530                    0.19223                   1.32872         
          48.70                     70690                    0.19169                   1.32924         
          48.80                     70781                    0.19067                   1.32976         
          48.90                     71004                    0.18806                   1.32736         
          49.00                     71137                    0.18903                   1.32587         
          49.10                     71123                    0.18963                   1.32681         
          49.20                     71149                    0.18839                   1.32831         
          49.30                     71171                    0.18878                   1.32838         
          49.40                     71292                    0.18797                   1.32687         
          49.50                     71270                    0.18821                   1.32540         
          49.60                     71379                    0.18758                   1.32515         
          49.70                     71565                    0.18584                   1.32369         
          49.80                     71558                    0.18770                   1.32368         
          49.90                     71790                    0.18621                   1.32117         
          50.00                     71952                    0.18803                   1.31804         
          50.10                     72057                    0.18731                   1.31651         
          50.20                     71937                    0.19041                   1.31901         
          50.30                     72021                    0.18958                   1.32325         
          50.40                     72142                    0.18937                   1.32433         
          50.50                     72306                    0.18899                   1.32472         
          50.60                     72432                    0.18969                   1.32548         
          50.70                     72634                    0.18971                   1.32473         
          50.80                     72620                    0.19043                   1.32468         
          50.90                     72835                    0.19005                   1.32537         
          51.00                     73034                    0.18953                   1.32578         
          51.10                     73042                    0.18900                   1.32716         
          51.20                     73109                    0.18961                   1.32873         
          51.30                     73109                    0.19101                   1.33105         
          51.40                     73302                    0.18848                   1.32968         
          51.50                     73394                    0.18898                   1.32942         
          51.60                     73465                    0.18851                   1.32870         
          51.70                     73602                    0.18884                   1.32817         
          51.80                     73741                    0.18965                   1.32950         
          51.90                     73944                    0.18862                   1.32958         
          52.00                     74048                    0.18923                   1.32992         
          52.10                     74113                    0.18827                   1.33000         
          52.20                     74062                    0.19080                   1.33043         
          52.30                     74114                    0.19082                   1.33189         
          52.40                     74242                    0.18916                   1.33453         
          52.50                     74273                    0.18939                   1.33620         
          52.60                     74442                    0.18822                   1.33725         
          52.70                     74356                    0.19050                   1.34020         
          52.80                     74574                    0.18848                   1.34093         
          52.90                     74806                    0.18697                   1.34153         
          53.00                     74945                    0.18589                   1.33978         
          53.10                     74998                    0.18588                   1.33824         
          53.20                     74985                    0.18748                   1.33934         
          53.30                     75088                    0.18693                   1.33966         
