             tauB                            r                             g(r)             
           100.000                         3.499                          2.607             
           100.000                         3.504                          2.586             
           100.000                         3.509                          2.544             
           100.000                         3.514                          2.490             
           100.000                         3.520                          2.434             
           100.000                         3.525                          2.380             
           100.000                         3.530                          2.397             
           100.000                         3.535                          2.339             
           100.000                         3.541                          2.336             
           100.000                         3.546                          2.290             
           100.000                         3.551                          2.275             
           100.000                         3.556                          2.300             
           100.000                         3.562                          2.237             
           100.000                         3.567                          2.241             
           100.000                         3.572                          2.225             
           100.000                         3.577                          2.266             
           100.000                         3.583                          2.270             
           100.000                         3.588                          2.292             
           100.000                         3.593                          2.317             
           100.000                         3.598                          2.258             
           100.000                         3.604                          2.300             
           100.000                         3.609                          2.315             
           100.000                         3.614                          2.284             
           100.000                         3.619                          2.306             
           100.000                         3.625                          2.290             
           100.000                         3.630                          2.313             
           100.000                         3.635                          2.370             
           100.000                         3.640                          2.331             
           100.000                         3.645                          2.296             
           100.000                         3.651                          2.316             
           100.000                         3.656                          2.366             
           100.000                         3.661                          2.349             
           100.000                         3.666                          2.395             
           100.000                         3.672                          2.388             
           100.000                         3.677                          2.353             
           100.000                         3.682                          2.380             
           100.000                         3.687                          2.456             
           100.000                         3.693                          2.440             
           100.000                         3.698                          2.516             
           100.000                         3.703                          2.504             
           100.000                         3.708                          2.540             
           100.000                         3.714                          2.577             
           100.000                         3.719                          2.602             
           100.000                         3.724                          2.611             
           100.000                         3.729                          2.673             
           100.000                         3.735                          2.738             
           100.000                         3.740                          2.810             
           100.000                         3.745                          2.835             
           100.000                         3.750                          2.837             
           100.000                         3.756                          2.864             
           100.000                         3.761                          2.953             
           100.000                         3.766                          2.964             
           100.000                         3.771                          2.979             
           100.000                         3.776                          3.009             
           100.000                         3.782                          3.004             
           100.000                         3.787                          3.137             
           100.000                         3.792                          3.113             
           100.000                         3.797                          3.115             
           100.000                         3.803                          3.146             
           100.000                         3.808                          3.153             
           100.000                         3.813                          3.195             
           100.000                         3.818                          3.140             
           100.000                         3.824                          3.149             
           100.000                         3.829                          3.088             
           100.000                         3.834                          3.105             
           100.000                         3.839                          3.114             
           100.000                         3.845                          3.029             
           100.000                         3.850                          3.071             
           100.000                         3.855                          3.063             
           100.000                         3.860                          3.061             
           100.000                         3.866                          3.043             
           100.000                         3.871                          3.039             
           100.000                         3.876                          3.007             
           100.000                         3.881                          2.967             
           100.000                         3.887                          2.964             
           100.000                         3.892                          2.913             
           100.000                         3.897                          2.897             
           100.000                         3.902                          2.866             
           100.000                         3.908                          2.823             
           100.000                         3.913                          2.781             
           100.000                         3.918                          2.780             
           100.000                         3.923                          2.677             
