 ALL 	  AA 	  AB 	  BB 
0.9986	0.9988	1.0033	0.9701
0.9995	1.0004	0.9992	1.0015
0.9995	0.9990	1.0002	0.9989
1.0014	0.9982	0.9979	0.9999
0.9999	1.0046	1.0014	0.9994
1.0008	0.9991	0.9967	0.9935
1.0086	0.9986	0.9977	1.0025
1.0003	0.9988	0.9990	1.0005
0.9998	1.0037	0.9993	1.0007
0.9980	1.0090	0.9991	1.0014
1.0040	0.9994	0.9995	1.0089
0.9988	1.0002	0.9999	1.0079
1.0059	0.9993	0.9986	0.9988
1.0011	0.9983	1.0038	1.0001
1.0886	1.0001	1.0006	1.0042
1.0041	0.9977	1.0005	1.0018
1.0078	0.9999	0.9998	1.0006
1.0015	1.0956	1.0006	1.0008
0.9992	1.0000	1.0036	1.0020
0.9998	0.9991	1.0001	1.0009
1.0001	1.0037	0.9980	1.0008
1.0019	0.9994	1.0001	0.9997
1.0007	0.9924	0.9946	1.0009
0.9978	1.0004	0.9999	0.9992
1.0230	1.0008	1.0012	1.0004
1.0008	1.0008	0.9999	0.9992
0.9998	1.0001	1.0005	1.0005
0.9994	0.9982	0.9998	1.0000
0.9980	1.0031	1.0008	1.0019
1.0008	1.0004	1.0024	0.9977
1.0000	1.0003	1.0012	0.9993
0.9996	1.0008	0.9997	1.0006
1.0008	1.0042	0.9976	0.9985
1.0061	1.0011	1.0005	1.0006
1.0487	1.0016	1.0043	0.9995
1.0027	1.0130	1.0458	0.9996
1.0005	1.0272	1.0000	0.9994
1.0090	0.9987	1.0011	0.9994
0.9890	1.0000	1.0004	1.0032
1.0027	0.9997	1.0001	1.0004
0.9939	1.0007	0.9998	1.0000
0.9985	1.0012	0.9999	1.0003
1.0903	0.9880	0.9985	0.9997
0.9870	1.0001	1.0024	0.9993
1.0071	0.9983	1.0018	1.0014
1.0009	0.9993	0.9997	1.0022
1.0027	0.9992	0.9980	1.0002
0.9998	0.9998	1.0000	1.0005
1.0028	1.0006	1.0016	1.0010
1.0079	0.9987	1.0013	0.9967
1.0007	1.0005	1.0012	1.0025
1.0007	0.9999	1.0015	0.9990
1.0033	0.9999	1.0003	1.0014
0.9992	0.9996	1.0011	0.9990
