PeB,PeA,xA,PS
60,60,70,1
60,60,80,1
60,60,90,1
60,60,100,1
60,70,0,1
60,70,10,1
60,70,20,1
60,70,30,1
60,70,40,1
60,70,50,1
60,70,60,1
60,70,70,1
60,70,80,1
60,70,90,1
60,70,100,1
60,80,0,1
60,80,10,1
60,80,20,1
60,80,30,1
60,80,40,1
60,80,50,1
60,80,60,1
60,80,70,1
60,80,80,1
60,80,90,1
60,80,100,1
60,90,0,1
60,90,10,1
60,90,20,1
60,90,30,1
60,90,40,1
60,90,50,1
60,90,60,1
60,90,70,1
60,90,80,1
60,90,90,1
60,90,100,1
60,100,0,1
60,100,10,1
60,100,20,1
60,100,30,1
60,100,40,1
60,100,50,1
60,100,60,1
60,100,70,1
60,100,80,1
60,100,90,1
60,100,100,1
60,110,0,1
60,110,10,1
60,110,20,1
60,110,30,1
60,110,40,1
60,110,50,1
60,110,60,1
60,110,70,1
60,110,80,1
60,110,90,1
60,110,100,1
60,120,0,1
60,120,10,1
60,120,20,1
60,120,30,1
60,120,40,1
60,120,50,1
60,120,60,1
60,120,70,1
60,120,80,1
60,120,90,1
60,120,100,1
60,130,0,1
60,130,10,1
60,130,20,1
60,130,30,1
60,130,40,1
60,130,50,1
60,130,60,1
60,130,70,1
60,130,80,1
60,130,90,1
60,130,100,1
60,140,0,1
60,140,10,1
60,140,20,1
60,140,30,1
60,140,40,1
60,140,50,1
60,140,60,1
60,140,70,1
60,140,80,1
60,140,90,1
60,140,100,1
60,150,0,1
60,150,10,1
60,150,20,1
60,150,30,1
60,150,40,1
60,150,50,1
60,150,60,1
60,150,70,1
60,150,80,1
60,150,90,1
60,150,100,1
70,0,0,1
70,0,10,1
70,0,20,1
70,0,30,1
70,0,40,0
70,0,50,0
70,0,60,0
70,0,70,0
70,0,80,0
70,0,90,0
70,0,100,0
70,10,0,1
70,10,10,1
70,10,20,1
70,10,30,1
70,10,40,1
70,10,50,0
70,10,60,0
70,10,70,0
70,10,80,0
70,10,90,0
70,10,100,0
70,20,0,1
70,20,10,1
70,20,20,1
70,20,30,1
70,20,40,1
70,20,50,0
70,20,60,0
70,20,70,0
70,20,80,0
70,20,90,0
70,20,100,0
70,30,0,1
70,30,10,1
70,30,20,1
70,30,30,1
70,30,40,1
70,30,50,1
70,30,60,0
70,30,70,0
70,30,80,0
70,30,90,0
70,30,100,0
70,40,0,1
70,40,10,1
70,40,20,1
70,40,30,1
70,40,40,1
70,40,50,1
70,40,60,1
70,40,70,1
70,40,80,1
70,40,90,0
70,40,100,0
70,50,0,1
70,50,10,1
70,50,20,1
70,50,30,1
70,50,40,1
70,50,50,1
70,50,60,1
70,50,70,1
70,50,80,1
70,50,90,1
70,50,100,1
70,60,0,1
70,60,10,1
70,60,20,1
70,60,30,1
70,60,40,1
70,60,50,1
70,60,60,1
70,60,70,1
70,60,80,1
70,60,90,1
70,60,100,1
70,70,0,1
70,70,10,1
70,70,20,1
70,70,30,1
70,70,40,1
70,70,50,1
70,70,60,1
70,70,70,1
70,70,80,1
70,70,90,1
70,70,100,1
70,80,0,1
70,80,10,1
70,80,20,1
70,80,30,1
70,80,40,1
70,80,50,1
70,80,60,1
70,80,70,1
70,80,80,1
70,80,90,1
70,80,100,1
70,90,0,1
70,90,10,1
70,90,20,1
70,90,30,1
70,90,40,1
70,90,50,1
70,90,60,1
70,90,70,1
70,90,80,1
70,90,90,1
70,90,100,1
70,100,0,1
70,100,10,1
70,100,20,1
70,100,30,1
70,100,40,1
70,100,50,1
70,100,60,1
70,100,70,1
70,100,80,1
70,100,90,1
70,100,100,1
70,110,0,1
70,110,10,1
70,110,20,1
70,110,30,1
70,110,40,1
70,110,50,1
70,110,60,1
70,110,70,1
70,110,80,1
70,110,90,1
70,110,100,1
70,120,0,1
70,120,10,1
70,120,20,1
70,120,30,1
70,120,40,1
70,120,50,1
70,120,60,1
70,120,70,1
70,120,80,1
70,120,90,1
70,120,100,1
70,130,0,1
70,130,10,1
70,130,20,1
70,130,30,1
70,130,40,1
70,130,50,1
