 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  24.667        127256.857           922336.176             7.248              13266.042           30084576.287           2267.788           1238128.212             547.7                44320        
  24.833        127184.759           925509.147             7.277              13259.717           30167973.866           2275.160           1293161.903             570.2                44381        
  25.000        127269.506           934357.008             7.342              13215.446           30441515.823           2303.480           1270537.528             553.3                44232        
  25.167        127378.285           941871.562             7.394              13212.917           30203228.539           2285.887           1227460.169             538.7                44219        
  25.333        127245.473           937504.231             7.368              13148.408           29809834.328           2267.182           1308893.558             579.2                44146        
  25.500        127213.851           927923.357             7.294              13219.241           29658925.914           2243.618           1287742.307             575.8                44135        
  25.667        127131.634           958023.888             7.536              13148.408           29696342.275           2258.550           1384809.398             615.2                44006        
  25.833        127340.339           949348.204             7.455              13057.337           29746043.453           2278.110           1363693.036             600.6                43726        
  26.000        127409.907           949023.242             7.449              12956.146           29803199.520           2300.314           1382189.565             602.8                43669        
  26.167        127395.994           953333.072             7.483              13068.721           29425926.796           2251.630           1259436.256             561.2                43618        
  26.333        127526.276           968871.167             7.597              12987.768           29569213.861           2276.697           1250472.022             551.1                43500        
  26.500        127685.651           965501.589             7.562              12927.054           30167385.858           2333.663           1200786.069             516.2                43444        
  26.667        127528.806           951460.965             7.461              13028.245           30026635.241           2304.734           1263414.365             550.0                43549        
  26.833        127674.267           978831.441             7.667              12915.670           30005530.397           2323.188           1205741.259             520.7                43366        
  27.000        127446.589           959008.883             7.525              13000.417           29688206.816           2283.635           1310652.536             575.8                43620        
  27.167        127550.309           951339.355             7.459              13018.126           29217793.163           2244.393           1215135.697             543.2                43571        
  27.333        127565.487           966764.326             7.579              13004.212           29156605.611           2242.089           1186175.095             530.8                43526        
  27.500        127388.404           955471.527             7.500              13034.569           29253920.644           2244.334           1290551.342             577.0                43565        
  27.667        127581.931           968658.901             7.592              13051.012           29793370.815           2282.840           1138709.577             500.5                43565        
  27.833        127664.148           963922.374             7.550              12965.001           29938174.007           2309.153           1164842.582             506.1                43524        
  28.000        127420.026           955287.124             7.497              13071.250           29693612.353           2271.673           1275769.757             563.5                43809        
  28.167        127387.139           928414.072             7.288              13139.554           29369044.331           2235.163           1222742.345             548.8                43884        
  28.333        127266.976           956597.978             7.516              13186.354           29101429.185           2206.935           1251649.617             569.1                43942        
  28.500        127210.056           951676.884             7.481              13267.306           28305891.353           2133.507           1221838.432             574.7                43960        
  28.667        127249.268           943481.290             7.414              13224.301           28480227.615           2153.628           1209302.785             563.5                43901        
  28.833        127412.437           963296.914             7.560              13163.586           28832041.534           2190.288           1180779.710             541.0                43768        
  29.000        127361.842           959328.918             7.532              13116.786           28853633.449           2199.749           1240154.379             565.7                43651        
  29.167        127274.565           978515.507             7.688              12990.298           28756955.751           2213.726           1431571.418             648.9                43506        
  29.333        127549.044           995056.363             7.801              13009.271           28994104.361           2228.726           1241408.157             559.0                43319        
  29.500        127277.095           962483.756             7.562              12949.822           29367200.943           2267.769           1497227.397             662.4                43493        
  29.667        127487.065           963721.601             7.559              13002.947           29446306.311           2264.587           1269203.447             562.3                43454        
  29.833        127414.967           956031.423             7.503              13000.417           30053940.647           2311.767           1365737.418             592.7                43550        
  30.000        127680.591           962528.032             7.539              12827.129           30599769.124           2385.551           1305143.506             548.8                43390        
  30.167        127489.594           954012.246             7.483              12983.974           30016229.888           2311.791           1306156.857             566.8                43589        
  30.333        127478.211           952739.421             7.474              12981.444           30031377.010           2313.408           1325232.772             574.7                43655        
  30.500        127489.594           952766.914             7.473              13053.542           29852281.180           2286.910           1261296.107             553.3                43631        
  30.667        127351.723           941714.761             7.395              12989.033           30002474.174           2309.831           1442338.549             626.4                43695        
  30.833        127583.195           954246.378             7.479              13014.331           30115132.923           2313.998           1214023.554             526.3                43679        
  31.000        127584.460           952718.029             7.467              13032.039           30196193.008           2317.074           1218246.336             527.5                43709        
  31.167        127552.838           946276.307             7.419              13033.304           30610454.986           2348.634           1245451.290             532.0                43857        
  31.333        127499.714           937886.298             7.356              13158.527           30294654.243           2302.283           1197598.422             521.8                44047        
  31.500        127392.199           942559.186             7.399              13230.625           30317689.497           2291.478           1186799.913             519.6                44262        
  31.667        127291.009           948672.050             7.453              13279.955           30191302.358           2273.449           1205437.447             532.0                44340        
  31.833        127083.569           953603.227             7.504              13322.961           29648459.356           2225.366           1329492.946             599.4                44552        
  32.000        126997.557           915464.156             7.209              13381.146           29513496.962           2205.603           1295571.196             589.3                44639        
  32.167        127024.119           931615.092             7.334              13426.681           29145667.324           2170.728           1250613.078             578.1                44648        
  32.333        126953.286           924469.700             7.282              13396.324           29003010.255           2164.998           1315278.876             609.6                44576        
  32.500        127106.336           924375.010             7.272              13460.833           28979211.482           2152.854           1151033.059             536.5                44604        
  32.667        126879.923           939671.733             7.406              13384.940           28889109.643           2158.329           1342586.463             624.2                44566        
  32.833        127019.060           917801.620             7.226              13346.994           29035132.928           2175.406           1307027.001             602.8                44397        
  33.000        127136.693           935804.479             7.361              13311.577           29425714.038           2210.536           1251309.346             568.0                44291        
  33.167        127220.175           937288.508             7.367              13263.512           29438771.842           2219.531           1241486.662             561.2                44223        
  33.333        127079.774           937143.026             7.374              13283.750           29282084.088           2204.354           1316974.953             599.4                44198        
  33.500        127378.285           939614.903             7.377              13072.515           29609770.495           2265.040           1279717.416             566.8                43764        
  33.667        127530.071           949601.610             7.446              13019.390           29871000.051           2294.347           1262854.125             552.2                43663        
  33.833        127320.101           950700.415             7.467              13116.786           29874541.445           2277.581           1330177.846             586.0                43910        
  34.000        127387.139           949746.514             7.456              13134.494           29830004.045           2271.119           1255114.000             554.5                43977        
  34.167        127450.383           949481.641             7.450              13121.846           29835200.495           2273.705           1236160.355             545.5                43988        
  34.333        127241.678           940390.638             7.391              13258.452           29448881.446           2221.140           1219969.339             551.1                44208        
  34.500        127263.181           942058.273             7.402              13253.393           29525063.777           2227.736           1228592.089             553.3                44293        
  34.667        127249.268           950007.156             7.466              13248.333           29262643.285           2208.779           1235397.677             561.2                44161        
  34.833        127313.776           944802.262             7.421              13302.723           29204550.005           2195.381           1129474.573             516.2                44130        
  35.000        127385.874           946672.581             7.432              13223.036           29612387.326           2239.455           1172303.019             525.2                44128        
  35.167        127183.494           935091.003             7.352              13263.512           29477057.889           2222.417           1300413.028             587.1                44307        
  35.333        127336.544           927985.972             7.288              13278.690           29384448.626           2212.903           1128665.969             511.7                44295        
  35.500        127260.652           934824.849             7.346              13298.928           29801950.531           2240.929           1200754.775             537.6                44427        
  35.667        127124.045           928043.083             7.300              13300.193           30235634.656           2273.323           1348168.752             594.9                44595        
  35.833        127135.429           909387.928             7.153              13339.405           30859889.701           2313.438           1320246.952             572.5                44751        
  36.000        127301.128           924981.855             7.266              13371.027           30728979.159           2298.177           1164584.169             508.3                44728        
  36.167        127051.947           914301.196             7.196              13364.702           30206391.452           2260.162           1340400.523             594.9                44798        
  36.333        126976.054           924478.780             7.281              13443.125           29927504.330           2226.231           1297702.988             584.8                44778        
  36.500        126962.140           915818.611             7.213              13446.919           29738296.981           2211.532           1299062.595             589.3                44724        
  36.667        127111.396           934790.096             7.354              13390.000           29526420.724           2205.110           1250703.278             569.1                44639        
  36.833        126989.968           911784.264             7.180              13462.098           29139790.756           2164.580           1222884.960             566.8                44682        
  37.000        127015.265           915343.406             7.207              13445.654           29275974.809           2177.356           1230111.551             566.8                44737        
  37.167        126843.242           920021.267             7.253              13498.779           29385200.539           2176.878           1322538.532             609.6                44893        
  37.333        127036.768           931083.976             7.329              13449.449           29105255.219           2164.048           1205519.593             559.0                44682        
  37.500        127043.093           922999.870             7.265              13400.119           29194887.744           2178.704           1208862.914             556.7                44697        
  37.667        126642.126           920025.397             7.265              13541.785           29195366.360           2155.947           1379852.207             642.2                44894        
  37.833        127078.509           925282.040             7.281              13388.735           29784398.466           2224.586           1266816.017             571.3                44639        
  38.000        126896.367           927031.718             7.305              13324.226           30068300.020           2256.664           1424266.992             633.2                44643        
  38.167        127189.818           928339.152             7.299              13244.539           30698816.931           2317.847           1343476.094             581.5                44428        
  38.333        127188.553           913553.259             7.183              13182.560           30785660.851           2335.333           1398223.296             600.6                44398        
  38.500        127315.041           919517.038             7.222              13239.479           30647724.941           2314.874           1230192.030             533.1                44438        
  38.667        127202.467           913911.700             7.185              13252.128           30993365.806           2338.746           1300627.453             557.8                44620        
  38.833        127129.104           909861.936             7.157              13242.009           31296745.977           2363.444           1433671.936             608.4                44710        
  39.000        126940.637           919824.076             7.246              13328.021           31244072.692           2344.240           1487641.412             636.6                44905        
  39.167        127145.548           926376.364             7.286              13354.583           30841787.586           2309.453           1273873.648             553.3                44742        
  39.333        127232.824           910900.844             7.159              13334.345           30197383.383           2264.632           1213597.636             537.6                44539        
  39.500        127086.098           925315.916             7.281              13408.973           29333679.592           2187.616           1169676.816             536.5                44558        
  39.667        127005.146           917089.034             7.221              13408.973           28903649.473           2155.545           1251566.642             582.6                44545        
  39.833        127015.265           923413.598             7.270              13371.027           28718173.770           2147.791           1261464.838             589.3                44465        
  40.000        126879.923           934673.655             7.367              13469.687           28618006.783           2124.623           1262041.575             596.1                44484        
  40.167        127206.262           943252.273             7.415              13317.902           29153074.269           2189.014           1180169.346             541.0                44075        
  40.333        127435.205           938924.274             7.368              13125.640           29689066.264           2261.914           1189203.740             527.5                43865        
  40.500        127459.237           944717.487             7.412              13053.542           30034096.406           2300.839           1258719.797             548.8                43835        
  40.667        127237.884           924636.028             7.267              13081.369           30334305.929           2318.894           1416897.900             612.9                44023        
  40.833        127488.330           947832.468             7.435              13039.628           30580276.094           2345.180           1296189.388             554.5                43841        
  41.000        127423.821           948591.229             7.444              13048.483           30934082.883           2370.703           1360835.517             575.8                44068        
  41.167        127370.696           935273.249             7.343              13148.408           31090951.005           2364.617           1330877.749             564.6                44206        
  41.333        127320.101           938018.462             7.367              13164.851           30434690.889           2311.814           1308827.497             568.0                44324        
  41.500        127280.890           935920.727             7.353              13259.717           29991751.165           2261.870           1247506.565             553.3                44420        
  41.666        127326.425           915880.591             7.193              13283.750           29784075.757           2242.144           1156245.561             517.3                44383        
  41.833        127227.765           935412.038             7.352              13352.053           29871128.108           2237.194           1171157.163             525.2                44494        
  42.000        127346.663           916683.716             7.198              13329.286           29508474.241           2213.808           1129174.813             511.7                44433        
