             tauB                            r                             g(r)             
           100.000                         2.807                          1.758             
           100.000                         2.812                          1.910             
           100.000                         2.817                          2.003             
           100.000                         2.823                          2.099             
           100.000                         2.828                          2.217             
           100.000                         2.833                          2.340             
           100.000                         2.838                          2.421             
           100.000                         2.844                          2.531             
           100.000                         2.849                          2.688             
           100.000                         2.854                          2.745             
           100.000                         2.859                          2.833             
           100.000                         2.865                          3.012             
           100.000                         2.870                          3.086             
           100.000                         2.875                          3.168             
           100.000                         2.880                          3.295             
           100.000                         2.886                          3.416             
           100.000                         2.891                          3.513             
           100.000                         2.896                          3.696             
           100.000                         2.901                          3.752             
           100.000                         2.907                          3.839             
           100.000                         2.912                          4.017             
           100.000                         2.917                          4.087             
           100.000                         2.922                          4.232             
           100.000                         2.927                          4.325             
           100.000                         2.933                          4.300             
           100.000                         2.938                          4.423             
           100.000                         2.943                          4.374             
           100.000                         2.948                          4.495             
           100.000                         2.954                          4.467             
           100.000                         2.959                          4.434             
           100.000                         2.964                          4.391             
           100.000                         2.969                          4.381             
           100.000                         2.975                          4.292             
           100.000                         2.980                          4.240             
           100.000                         2.985                          4.062             
           100.000                         2.990                          4.030             
           100.000                         2.996                          3.840             
           100.000                         3.001                          3.749             
           100.000                         3.006                          3.598             
           100.000                         3.011                          3.449             
           100.000                         3.017                          3.335             
           100.000                         3.022                          3.146             
           100.000                         3.027                          2.979             
           100.000                         3.032                          2.810             
           100.000                         3.038                          2.669             
           100.000                         3.043                          2.536             
           100.000                         3.048                          2.403             
           100.000                         3.053                          2.253             
           100.000                         3.058                          2.140             
           100.000                         3.064                          1.998             
           100.000                         3.069                          1.888             
           100.000                         3.074                          1.765             
           100.000                         3.079                          1.650             
           100.000                         3.085                          1.556             
           100.000                         3.090                          1.481             
           100.000                         3.095                          1.385             
           100.000                         3.100                          1.322             
           100.000                         3.106                          1.245             
           100.000                         3.111                          1.175             
           100.000                         3.116                          1.132             
           100.000                         3.121                          1.111             
           100.000                         3.127                          1.008             
           100.000                         3.132                          0.976             
           100.000                         3.137                          0.992             
           100.000                         3.142                          0.891             
           100.000                         3.148                          0.906             
           100.000                         3.153                          0.870             
           100.000                         3.158                          0.876             
           100.000                         3.163                          0.885             
           100.000                         3.169                          0.899             
           100.000                         3.174                          0.875             
           100.000                         3.179                          0.905             
           100.000                         3.184                          0.956             
           100.000                         3.190                          1.007             
           100.000                         3.195                          1.075             
           100.000                         3.200                          1.089             
           100.000                         3.205                          1.136             
           100.000                         3.210                          1.206             
           100.000                         3.216                          1.296             
           100.000                         3.221                          1.362             
           100.000                         3.226                          1.407             
           100.000                         3.231                          1.451             
           100.000                         3.237                          1.522             
           100.000                         3.242                          1.570             
           100.000                         3.247                          1.644             
           100.000                         3.252                          1.688             
           100.000                         3.258                          1.714             
           100.000                         3.263                          1.769             
           100.000                         3.268                          1.751             
           100.000                         3.273                          1.801             
           100.000                         3.279                          1.762             
           100.000                         3.284                          1.788             
           100.000                         3.289                          1.806             
           100.000                         3.294                          1.759             
           100.000                         3.300                          1.767             
           100.000                         3.305                          1.695             
           100.000                         3.310                          1.691             
           100.000                         3.315                          1.680             
           100.000                         3.321                          1.615             
           100.000                         3.326                          1.555             
           100.000                         3.331                          1.536             
           100.000                         3.336                          1.503             
           100.000                         3.341                          1.409             
           100.000                         3.347                          1.398             
           100.000                         3.352                          1.334             
           100.000                         3.357                          1.322             
