             TauR                           MSD              
            93.500                     344698.524123         
            93.666                     345513.337147         
            93.833                     346327.302404         
            94.000                     347142.478984         
            94.166                     347960.766394         
            94.333                     348785.603659         
            94.500                     349622.447681         
            94.666                     350469.178965         
            94.833                     351320.518070         
            95.000                     352174.770854         
            95.166                     353027.002185         
            95.333                     353876.049010         
            95.500                     354729.708393         
            95.666                     355593.784025         
            95.833                     356461.879085         
            96.000                     357332.685150         
            96.166                     358204.005480         
            96.333                     359076.964671         
            96.500                     359943.213804         
            96.666                     360805.366688         
            96.833                     361662.779066         
            97.000                     362519.543122         
            97.166                     363378.629880         
            97.333                     364235.911606         
            97.500                     365093.010566         
            97.666                     365945.907466         
            97.833                     366796.851151         
            98.000                     367645.644221         
            98.166                     368492.570672         
            98.333                     369334.007547         
            98.500                     370173.944837         
            98.666                     371021.505326         
            98.833                     371881.446721         
            99.000                     372758.408530         
            99.166                     373649.823862         
            99.333                     374542.887796         
            99.500                     375442.814219         
            99.666                     376343.651301         
            99.833                     377242.631584         
           100.000                     378143.137594         
