 Timestep   N_clusts  all_parts  thr_clusts thr_parts 
   76.0      14700      100000       2        79683   
   76.1      14810      100000       2        79796   
   76.2      14673      100000       2        79849   
   76.3      14756      100000       2        79796   
   76.4      14887      100000       2        79646   
   76.5      14917      100000       2        79562   
   76.6      14972      100000       3        79372   
   76.7      14908      100000       3        79434   
   76.8      15003      100000       2        79270   
   76.9      15084      100000       2        79202   
   77.0      15027      100000       2        79247   
   77.1      15142      100000       2        79157   
   77.2      15154      100000       2        78989   
   77.3      15070      100000       2        79102   
   77.4      15180      100000       3        78941   
   77.5      15176      100000       2        78984   
   77.6      15315      100000       2        78959   
   77.7      15193      100000       2        79151   
   77.8      15209      100000       2        79243   
   77.9      15158      100000       2        79207   
   78.0      15023      100000       2        79270   
   78.1      15072      100000       2        79362   
   78.2      15032      100000       2        79273   
   78.3      14970      100000       2        79283   
   78.4      15033      100000       2        79370   
   78.5      14908      100000       2        79470   
   78.6      15086      100000       2        79319   
   78.7      14998      100000       3        79451   
   78.8      15028      100000       2        79334   
   78.9      14916      100000       2        79422   
   79.0      15025      100000       2        79464   
   79.1      14939      100000       2        79358   
   79.2      14940      100000       2        79521   
   79.3      14923      100000       2        79682   
   79.4      14827      100000       2        79842   
   79.5      14789      100000       2        80016   
   79.6      14611      100000       2        80122   
   79.7      14672      100000       4        80209   
   79.8      14485      100000       2        80233   
   79.9      14777      100000       2        79981   
   80.0      14671      100000       2        80081   
   80.1      14592      100000       2        80074   
   80.2      14714      100000       2        79975   
   80.3      14607      100000       2        79921   
   80.4      14821      100000       3        79827   
   80.5      14886      100000       2        79634   
   80.6      14925      100000       2        79442   
   80.7      15057      100000       2        79191   
   80.8      14880      100000       2        79186   
   80.9      15041      100000       3        79146   
   81.0      15060      100000       3        79136   
   81.1      15051      100000       2        79273   
   81.2      14976      100000       2        79432   
   81.3      15025      100000       2        79363   
