 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
4450000.00   35425        0        35425      14575        0        14575       2518        0         2518       269       0.9507     0.9507     0.0000     0.0000      0.44    1493.9637    0.0000   1493.9637  9314.9466    0.0000   9314.9466   78539.82 
4500000.00   36066        0        36066      13934        0        13934       2506        0         2506       309       0.9481     0.9481     0.0000     0.0000      0.44    1483.3917    0.0000   1483.3917  8896.9680    0.0000   8896.9680   78539.82 
4550000.00   36513        0        36513      13487        0        13487       2595        0         2595       306       0.9405     0.9405     0.0000     0.0000      0.44    1542.7144    0.0000   1542.7144  8596.7201    0.0000   8596.7201   78539.82 
4600000.00   35177        0        35177      14823        0        14823       2573        0         2573       302       0.9348     0.9348     0.0000     0.0000      0.44    1525.2947    0.0000   1525.2947  9486.3862    0.0000   9486.3862   78539.82 
4650000.00   35584        0        35584      14416        0        14416       2588        0         2588       288       0.9397     0.9397     0.0000     0.0000      0.44    1531.8830    0.0000   1531.8830  9212.5513    0.0000   9212.5513   78539.82 
4700000.00   36445        0        36445      13555        0        13555       2667        0         2667       315       0.9416     0.9416     0.0000     0.0000      0.44    1587.7621    0.0000   1587.7621  8626.0173    0.0000   8626.0173   78539.82 
4750000.00   36271        0        36271      13729        0        13729       2694        0         2694       352       0.9261     0.9261     0.0000     0.0000      0.44    1610.5169    0.0000   1610.5169  8738.4158    0.0000   8738.4158   78539.82 
4800000.00   35858        0        35858      14142        0        14142       2790        0         2790       328       0.9396     0.9396     0.0000     0.0000      0.44    1673.8559    0.0000   1673.8559  9020.6003    0.0000   9020.6003   78539.82 
4850000.00   36303        0        36303      13697        0        13697       2751        0         2751       342       0.9279     0.9279     0.0000     0.0000      0.44    1639.5414    0.0000   1639.5414  8711.8835    0.0000   8711.8835   78539.82 
4900000.00   36171        0        36171      13829        0        13829       2761        0         2761       307       0.9390     0.9390     0.0000     0.0000      0.44    1643.6745    0.0000   1643.6745  8799.4732    0.0000   8799.4732   78539.82 
4950000.00   36058        0        36058      13942        0        13942       2844        0         2844       340       0.9240     0.9240     0.0000     0.0000      0.44    1694.0084    0.0000   1694.0084  8879.2373    0.0000   8879.2373   78539.82 
5000000.00   36805        0        36805      13195        0        13195       2899        0         2899       329       0.9180     0.9180     0.0000     0.0000      0.44    1733.8756    0.0000   1733.8756  8365.2965    0.0000   8365.2965   78539.82 
5050000.00   36735        0        36735      13265        0        13265       2903        0         2903       340       0.9263     0.9263     0.0000     0.0000      0.44    1731.9238    0.0000   1731.9238  8418.1111    0.0000   8418.1111   78539.82 
5100000.00   36046        0        36046      13954        0        13954       2835        0         2835       340       0.9150     0.9150     0.0000     0.0000      0.44    1685.7187    0.0000   1685.7187  8865.3762    0.0000   8865.3762   78539.82 
5150000.00   35622        0        35622      14378        0        14378       2909        0         2909       334       0.9143     0.9143     0.0000     0.0000      0.44    1735.9995    0.0000   1735.9995  9146.4760    0.0000   9146.4760   78539.82 
5200000.00   35946        0        35946      14054        0        14054       3039        0         3039       342       0.9145     0.9145     0.0000     0.0000      0.44    1822.4627    0.0000   1822.4627  8918.9309    0.0000   8918.9309   78539.82 
5250000.00   36402        0        36402      13598        0        13598       3084        0         3084       388       0.9096     0.9096     0.0000     0.0000      0.44    1848.3176    0.0000   1848.3176  8606.6988    0.0000   8606.6988   78539.82 
5300000.00   36165        0        36165      13835        0        13835       3031        0         3031       354       0.9175     0.9175     0.0000     0.0000      0.44    1802.6361    0.0000   1802.6361  8746.2635    0.0000   8746.2635   78539.82 
